Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Latitude,Longitude,Meeting_Name,Day,Start,End,Type
Harlem Children's Zone Admin. Offices,35 East 125 Street,New York,NY,10035,"Harlem Children's Zone Admin. Offices,35 East 125 Street,1st Floor Conference Room,@ Madison Avenue,10035",40.805958,-73.940763,125,Saturdays,4:15 PM,5:30 PM,B
Peter Jay Sharpe Building,223 East 117th Street,New York,NY,10035,"Peter Jay Sharpe Building,223 East 117th Street,1st Floor Dining Room,Betw. 2nd & 3rd Avenues,NY 10035",40.7982106,-73.9382769,east harlem,Tuesdays,6:30 PM,7:30 PM,B
2126 2nd Avenue,1st Floor,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.6639307188879,-73.9382749875207,grupo nueva vida,Sundays,5:00 PM,6:00 PM,OD
2126 2nd Avenue,1st Floor,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.6639307188879,-73.9382749875207,grupo nueva vida,Mondays,8:00 PM,9:00 PM,B
2126 2nd Avenue,1st Floor,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.6639307188879,-73.9382749875207,grupo nueva vida,Tuesdays,8:00 PM,9:00 PM,OD
2126 2nd Avenue,1st Floor,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.6639307188879,-73.9382749875207,grupo nueva vida,Wednesdays,8:00 PM,9:00 PM,C
2126 2nd Avenue,1st Floor,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.6639307188879,-73.9382749875207,grupo nueva vida,Thursdays,8:00 PM,9:00 PM,OD
2126 2nd Avenue,1st Floor,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.6639307188879,-73.9382749875207,grupo nueva vida,Fridays,8:00 PM,9:00 PM,OD
2126 2nd Avenue,1st Floor,New York,NY,10029,"2126 2nd Avenue,1st Floor,Betw. 109th & 110th Streets,NY 10029",40.6639307188879,-73.9382749875207,grupo nueva vida,Saturdays,8:00 PM,9:00 PM,OD
Veterans Residence,22 East 119th Street,New York,NY,10035,"Veterans Residence,22 East 119th Street,1st Floor Cafeteria,Betw. Madison & 5th Avenues,NY 10035",40.8021458,-73.9442327,harlem 1 pm recovery,Sundays,1:00 PM,2:00 PM,T
Veterans Residence,22 East 119th Street,New York,NY,10035,"Veterans Residence,22 East 119th Street,1st Floor Cafeteria,Betw. Madison & 5th Avenues,NY 10035",40.8021458,-73.9442327,harlem 1 pm recovery,Mondays,1:00 PM,2:00 PM,B
